"","Stream start time","Stream URL","Stream length","Watch time","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"23","Wednesday 24th February 2021 19:04","https://sullygnome.com/channel/hasanabi/stream/41825557918","670","11399380","17014","39968","3950","351","162876","14169","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"24","Tuesday 23rd February 2021 18:59","https://sullygnome.com/channel/hasanabi/stream/41814210046","750","12614250","16819","27802","1005","80","137978","10709","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"25","Monday 22nd February 2021 19:08","https://sullygnome.com/channel/hasanabi/stream/41803268318","636","12117072","19052","31564","917","85","136104","12660","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Grand Theft Auto V|Grand_Theft_Auto_V|https://static-cdn.jtvnw.net/ttv-boxart/Grand%20Theft%20Auto%20V-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"26","Sunday 21st February 2021 19:24","https://sullygnome.com/channel/hasanabi/stream/41792428766","800","12679200","15849","24259","1502","111","153060","11337","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Grand Theft Auto V|Grand_Theft_Auto_V|https://static-cdn.jtvnw.net/ttv-boxart/Grand%20Theft%20Auto%20V-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"27","Saturday 20th February 2021 18:21","https://sullygnome.com/channel/hasanabi/stream/41778674606","773","11741870","15190","21376","1268","97","152682","11194","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"28","Friday 19th February 2021 19:01","https://sullygnome.com/channel/hasanabi/stream/41765646670","718","11625138","16191","25937","869","72","145059","12088","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Grand Theft Auto V|Grand_Theft_Auto_V|https://static-cdn.jtvnw.net/ttv-boxart/Grand%20Theft%20Auto%20V-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"29","Thursday 18th February 2021 19:02","https://sullygnome.com/channel/hasanabi/stream/41753263838","477","9633492","20196","30641","724","90","133287","15682","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Grand Theft Auto V|Grand_Theft_Auto_V|https://static-cdn.jtvnw.net/ttv-boxart/Grand%20Theft%20Auto%20V-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"30","Wednesday 17th February 2021 19:01","https://sullygnome.com/channel/hasanabi/stream/41741101662","793","18453110","23270","39463","1729","130","193705","14619","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"31","Tuesday 16th February 2021 19:00","https://sullygnome.com/channel/hasanabi/stream/41729391518","749","15079617","20133","32062","1491","119","172155","13443","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Grand Theft Auto V|Grand_Theft_Auto_V|https://static-cdn.jtvnw.net/ttv-boxart/Grand%20Theft%20Auto%20V-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"32","Monday 15th February 2021 18:52","https://sullygnome.com/channel/hasanabi/stream/41717254894","727","14476751","19913","27996","1178","98","158034","12874","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Grand Theft Auto V|Grand_Theft_Auto_V|https://static-cdn.jtvnw.net/ttv-boxart/Grand%20Theft%20Auto%20V-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"33","Saturday 13th February 2021 18:51","https://sullygnome.com/channel/hasanabi/stream/41691808846","698","11046548","15826","17794","1267","107","143106","11894","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Grand Theft Auto V|Grand_Theft_Auto_V|https://static-cdn.jtvnw.net/ttv-boxart/Grand%20Theft%20Auto%20V-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"34","Friday 12th February 2021 18:57","https://sullygnome.com/channel/hasanabi/stream/41678079998","662","12543576","18948","30769","1188","108","147878","13137","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Grand Theft Auto V|Grand_Theft_Auto_V|https://static-cdn.jtvnw.net/ttv-boxart/Grand%20Theft%20Auto%20V-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"35","Thursday 11th February 2021 18:52","https://sullygnome.com/channel/hasanabi/stream/41665771806","727","15521450","21350","34843","1356","110","174800","13931","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Grand Theft Auto V|Grand_Theft_Auto_V|https://static-cdn.jtvnw.net/ttv-boxart/Grand%20Theft%20Auto%20V-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"36","Wednesday 10th February 2021 18:51","https://sullygnome.com/channel/hasanabi/stream/41653864174","773","15086641","19517","33504","1784","137","190710","14464","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Grand Theft Auto V|Grand_Theft_Auto_V|https://static-cdn.jtvnw.net/ttv-boxart/Grand%20Theft%20Auto%20V-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"37","Tuesday 9th February 2021 18:36","https://sullygnome.com/channel/hasanabi/stream/41641813118","743","14452836","19452","38791","1858","148","190099","15207","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Grand Theft Auto V|Grand_Theft_Auto_V|https://static-cdn.jtvnw.net/ttv-boxart/Grand%20Theft%20Auto%20V-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"38","Monday 8th February 2021 18:56","https://sullygnome.com/channel/hasanabi/stream/41630650910","753","15707580","20860","36334","1681","131","185051","14513","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"39","Saturday 6th February 2021 19:27","https://sullygnome.com/channel/hasanabi/stream/41606494558","647","12928354","19982","25525","1773","164","163776","15234","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"40","Friday 5th February 2021 19:20","https://sullygnome.com/channel/hasanabi/stream/41592642974","744","12467208","16757","27164","2657","212","235794","18553","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Grand Theft Auto V|Grand_Theft_Auto_V|https://static-cdn.jtvnw.net/ttv-boxart/Grand%20Theft%20Auto%20V-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"41","Thursday 4th February 2021 19:01","https://sullygnome.com/channel/hasanabi/stream/41580448734","808","18958912","23464","42579","1813","134","191334","13902","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|The Legend of Zelda: Breath of the Wild|The_Legend_of_Zelda_Breath_Of_The_Wild|https://static-cdn.jtvnw.net/ttv-boxart/./The%20Legend%20of%20Zelda:%20Breath%20of%20the%20Wild-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"42","Wednesday 3rd February 2021 19:06","https://sullygnome.com/channel/hasanabi/stream/41568906750","653","14636342","22414","36734","1680","152","153865","13987","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|The Legend of Zelda: Breath of the Wild|The_Legend_of_Zelda_Breath_Of_The_Wild|https://static-cdn.jtvnw.net/ttv-boxart/./The%20Legend%20of%20Zelda:%20Breath%20of%20the%20Wild-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"43","Tuesday 2nd February 2021 18:55","https://sullygnome.com/channel/hasanabi/stream/40421486941","664","14141872","21298","40209","1298","115","153710","13663","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|The Legend of Zelda: Breath of the Wild|The_Legend_of_Zelda_Breath_Of_The_Wild|https://static-cdn.jtvnw.net/ttv-boxart/./The%20Legend%20of%20Zelda:%20Breath%20of%20the%20Wild-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"44","Monday 1st February 2021 19:09","https://sullygnome.com/channel/hasanabi/stream/41546225486","755","18811580","24916","43953","1850","145","192303","14915","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"45","Sunday 31st January 2021 20:40","https://sullygnome.com/channel/hasanabi/stream/41535307182","619","10838690","17510","25574","1384","131","139117","13249","The Legend of Zelda: Breath of the Wild|The_Legend_of_Zelda_Breath_Of_The_Wild|https://static-cdn.jtvnw.net/ttv-boxart/./The%20Legend%20of%20Zelda:%20Breath%20of%20the%20Wild-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"46","Saturday 30th January 2021 19:09","https://sullygnome.com/channel/hasanabi/stream/41520108030","755","13981090","18518","30701","1712","134","174735","13704","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|The Legend of Zelda: Breath of the Wild|The_Legend_of_Zelda_Breath_Of_The_Wild|https://static-cdn.jtvnw.net/ttv-boxart/./The%20Legend%20of%20Zelda:%20Breath%20of%20the%20Wild-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"47","Friday 29th January 2021 18:51","https://sullygnome.com/channel/hasanabi/stream/41505727278","623","17718120","28440","42106","1923","183","201121","18682","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|The Legend of Zelda: Breath of the Wild|The_Legend_of_Zelda_Breath_Of_The_Wild|https://static-cdn.jtvnw.net/ttv-boxart/./The%20Legend%20of%20Zelda:%20Breath%20of%20the%20Wild-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
